Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
La ley de los audaces: Temporada 9: Todo ha cambiado,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Harvey,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Caballo de acecho,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Como gotas de agua,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: El bien de todos,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Caza de ballenas,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Rocky 8,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Socio director,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Moción para postergar,2023-12-24,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Coral Gables,2023-12-23,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
